highlights,no_ratings,prod_desc,product_name,product_price,product_rating,tech_details,brand
"Washer Dryers: Premium washing machine with best-in-class drying which is better than dryer of front-loader,Total capacity: 10.5 kg/ 7 kg (washing/drying capacity): Suitable for families with 5 to 7 members | Twin wash compatible,Warranty: 2 years comprehensive & 10 years on motor T&C apply,AI DD detects not only the weight, but also senses softness of fabric, and it chooses the optimal motions for the fabric by itself,LG Steam technology eliminates 99.9% of allergens, such as dust mites that can cause allergy or respiratory issues.(Allergy Care cycle certified by BAF (British Allergy Foundation) reduces 99.9% house dust mite allergen.),1370 RPM: Higher spin speeds helps in faster drying | Washer and Dryer in One,Multiple Wash programs:Cotton+, Baby steam care, delicate, wool, rinse + spin, duvet, gentle care, allergy care, duvet, sportswear, quick 30 programs, Wash+Dry, Dry Only, Easy Care, stain care,Special features: Smart convenience with Wi-Fi, chrome door, touch panel, slim size, 6 motion DD, child lock, tub clean, smart diagnosis, eco hybrid, Auto Restart, Child-Lock, Remote Start & pre wash",5.00,"AI DD  ,What is AI DD ? ,LESS VIBRATION, LESS NOISE ,More Hygienic ,LG ThinQ (Wi-Fi) ,OPTIMAL WASH for fabrics with 6 Motion DD ,Washer and Dryer in One  ,More Durable and Hygienic ,More Visible and Elegant ","LG 10.5/7.0 Kg Inverter Wi-Fi Washing Machine (FHD1057SWS, Silver VCM, AI DD)",68900.00,3.9,"Brand,LG,Model,FHD1057SWS,Capacity,10.5 Kilograms,Installation Type,Free Standing,Form Factor,Front-Loading,Special Features,Wi-fi, In built heater, Inverter,Colour,Silver VCM,Access Location,Front Load,Voltage,230 Volts,Material,Stainless-Steel,Included Components,Machine, Hose, Owners Manual and Service Manual,Batteries Required,No, , ",LG
"Fully-automatic front load washing machine: best wash quality, energy and water efficient,Capacity 7 kg: Suitable for families with 3to 4 members,Manufacturer Warranty: 2 years on product, 10 years on motor (T&C),1200 RPM: higher spin speeds helps in faster drying,Washing Programs: 14 basic washing programs and can be downloaded multiple,1 unit of machine, 1 unit of drain hose, 1 unit OT hose, 1 unit of QRG, 1 unit of user manual,LG ThinQ with Wi-Fi makes laundry much more convenient. Smart remote control enables you to do your laundry anytime, anywhere. With download cycle, download up to 20 additional wash programs,Special features: inverter direct drive motor, washer with steam, fast & Clean wash with turbo wash, child lock, time delay, chrome on door, Jog dial for programs selection, smart diagnosis,Energy Rating 5 Star: Best in class efficiency",1.00,"Tough on Tough Stains ,No Belt & Pulley Involved ,Germ Free- Allergen Free ,Operate from Anywhere ,Save Time & Water ,Goodbye Stains ,Save Time & Money  ,Waterproof Touch Panel ,Keep Settings Safe ,Auto Restart ,Stainless Steel Drum ","LG 7 Kg 5 Star Inverter Wi-Fi Fully-Automatic Front Loading Washing Machine (FHT1207ZWL, Luxury Silver, Steam)",35600.00,,"Brand,LG,Model,FHT1207ZWL,Energy Efficiency,5 Star Rating,Capacity,7 Kilograms,Annual Energy Consumption,0.08 Kilowatt Hours,Noise Level,60 dB,Installation Type,Free Standing,Form Factor,Front-Loading,Special Features,Inverter, wifi_control,Colour,Luxury Silver,Control Console,Fully Automatic,Access Location,Front Load,Voltage,230 Volts,Material,Stainless-Steel,Included Components,1 unit of machine, 1 unit of drain hose, 1 unit OT hose, 1 unit of QRG, 1 unit of user manual,Batteries Required,No, , ",LG
"Fully-automatic front load washing machine: best wash quality, energy and water efficient,Capacity 8 kg: Suitable for large families,Energy Rating 5 Star: Best in class efficiency,Manufacturer Warranty: 2 years on product, 10 years on motor (T&C),1400 RPM: higher spin speeds helps in faster drying,Washing Programs: 14 basic washing programs and can be downloaded multiple,1 unit of machine, 1 unit of drain hose, 1 unit OT hose, 1 unit of QRG, 1 unit of user manual,LG ThinQ with Wi-Fi makes laundry much more convenient. Smart remote control enables you to do your laundry anytime, anywhere. With download cycle, download up to 20 additional wash programs,Special features: inverter direct drive motor, washer with steam, fast & Clean wash with turbo wash, child lock, time delay, chrome on door, Jog dial for programs selection, smart diagnosis",70.00,,"LG 8 kg 5 Star Inverter Wi-Fi Fully-Automatic Front Loading Washing Machine (FHT1408ZWL, Luxury Silver, Steam)",38050.00,4.1,"Brand,LG,Model,FHT1408ZWL,Energy Efficiency,5 Star Rating,Capacity,8 Kilograms,Annual Energy Consumption,0.082 Kilowatt Hours,Installation Type,Free Standing,Form Factor,Front-Loading,Special Features,Inverter, wifi_control,Colour,Luxury Silver,Control Console,Fully Automatic,Access Location,Front Load,Voltage,230 Volts,Material,Stainless-Steel,Included Components,1 unit of machine, 1 unit of drain hose, 1 unit OT hose, 1 unit of QRG, 1 unit of user manual,Batteries Required,No, , ",LG
"Fully-automatic front load washing machine: best wash quality, energy and water efficient,Capacity 9 kg: Suitable for large families,Manufacturer Warranty: 2 years on product, 10 years on motor (T&C),1400 RPM: higher spin speeds helps in faster drying,Washing Programs: 14 basic washing programs and can be downloaded multiple,1 unit of machine, 1 unit of drain hose, 1 unit OT hose, 1 unit of QRG, 1 unit of user manual,LG ThinQ with Wi-Fi makes laundry much more convenient. Smart remote control enables you to do your laundry anytime, anywhere. With download cycle, download up to 20 additional wash programs,Special features: inverter direct drive motor, washer with steam, fast & Clean wash with turbo wash, child lock, time delay, chrome on door, Jog dial for programs selection, smart diagnosis,Energy Rating 5 Star: Best in class efficiency",83.00,"Tough on Tough Stains ,No Belt & Pulley Involved ,Germ Free- Allergen Free ,Operate from Anywhere ,Save Time & Water ,Goodbye Stains ,Save Time & Money  ,Waterproof Touch Panel ,Keep Settings Safe ,Auto Restart ,Stainless Steel Drum ","LG 9 Kg 5 Star Inverter Wi-Fi Fully-Automatic Front Loading Washing Machine (FHT1409ZWS, VCM, Steam)",41590.00,4.2,"Brand,LG,Model,FHT1409ZWS,Energy Efficiency,5 Star Rating,Capacity,9 Kilograms,Annual Energy Consumption,0.084 Kilowatt Hours,Installation Type,Free Standing,Form Factor,Front-Loading,Special Features,Inverter, wifi_control,Colour,VCM,Control Console,Fully Automatic,Access Location,Front Load,Voltage,230 Volts,Material,Stainless-Steel,Included Components,1 unit of machine, 1 unit of drain hose, 1 unit OT hose, 1 unit of QRG, 1 unit of user manual,Batteries Required,No, , ",LG
"Fully-automatic front load washing machine: best wash quality, energy and water efficient,Manufacturer Warranty: 2 years on product, 10 years on motor (T&C),1200 RPM: higher spin speeds helps in faster drying,Washing Programs: 14 basic washing programs and can be downloaded multiple,1 unit of machine, 1 unit of drain hose, 1 unit OT hose, 1 unit of QRG, 1 unit of user manual,LG ThinQ with Wi-Fi makes laundry much more convenient. Smart remote control enables you to do your laundry anytime, anywhere. With download cycle, download up to 20 additional wash programs,Special features: inverter direct drive motor, washer with steam, fast & Clean wash with turbo wash, child lock, time delay, chrome on door, Jog dial for programs selection, smart diagnosis,Capacity 7 kg: Suitable for families with 3 to 4 members,Energy Rating 5 Star: Best in class efficiency",53.00,"Tough on Tough Stains ,No Belt & Pulley Involved ,Germ Free- Allergen Free ,Operate from Anywhere ,Save Time & Water ,Goodbye Stains ,Save Time & Money  ,Waterproof Touch Panel ,Keep Settings Safe ,Auto Restart ,Stainless Steel Drum ","LG 7 Kg 5 Star Inverter Wi-Fi Fully-Automatic Front Loading Washing Machine (FHT1207ZWS, VCM, Steam)",39490.00,4.6,"Brand,LG,Model,FHT1207ZWS,Energy Efficiency,5 Star Rating,Capacity,7 Kilograms,Annual Energy Consumption,0.082 Kilowatt Hours,Installation Type,Free Standing,Form Factor,Front-Loading,Special Features,Inverter, wifi_control,Colour,VCM,Control Console,Fully Automatic,Access Location,Front Load,Voltage,230 Volts,Material,Stainless-Steel,Included Components,1 unit of machine, 1 unit of drain hose, 1 unit OT hose, 1 unit of QRG, 1 unit of user manual,Batteries Required,No, , ",LG
"Fully-automatic top load washing machine: Affordable with great wash quality, Easy to use,5 Star Energy Rated Model : Best in class efficiency,Capacity 6.5 Kg : Suitable for bachelors & couples,Manufacturer Warranty: 2 years on product and 10 years on motor*T&C,780 rpm: Higher spin speeds helps in faster drying,Wash Programs: Normal, Pre Wash+Normal, Gentle (Wool/Saree), Quick Wash, Strong (Jeans), Tub Clean/Aqua reserve,Also included in the box: 1 Washing Machine, 1 Anti Rat cover, 1 Owner’s manual,OT Hose,Drain Hose,QRG,Detergent Powder(200gm Packet),Spl. Feature: Smart Inverter Technology: an energy saving technology and it’s revolutionary water proof motor doesn't corrode and is the most durable one in its league | TurboDrum | Tub Clean : To sterilize the inner and outer tub for preventing unpleasant smell of tub | Smart Cleaning | Child Lock | Smart Diagnosis | Normal Pulsator | 3-Step Wash | Fuzzy Logic Control | Stainless Steel Inner Tub | Cold Water inlet | Memory Backup | Auto Balance System | Window(Glass Type):Transparent | Auto Restart| Standby Power Save",1388.00,"Smart Inverter Motor ,Long Motor Life ,Most Powerful Washing ,Save Time & Money ,For Hygienic Washing ,Keep Settings Safe ,Start from where it stopped ","LG 6.5 Kg 5 Star Smart Inverter Fully-Automatic Top Loading Washing Machine (T65SKSF4Z, Middle Free Silver)",,4.1,"Brand,LG,Model,T65SKSF4Z,Capacity,6.50 Kilograms,Installation Type,Free Standing,Form Factor,Top-Loading,Special Features,Inverter,Colour,Middle Free Silver,Control Console,Fully Automatic,Access Location,Top Load,Voltage,230 Volts,Material,Stainless-Steel,Included Components,Machine, Hose, Owners Manual and Service Manual,Batteries Required,No, , ",LG
"Fully-automatic Top load washing machine: Best Wash Quality, Energy and Water efficient,Capacity 7.0 Kg: Suitable for large families,Energy rating 5: Best in class efficiency,Manufacturer warranty : 2 Years Comprehensive & 10 years on Motor (T&C),780 rpm: Higher spin speeds helps in faster drying,Wash program: Prewash + Normal/Tub Clean/Aqua Reserve/Turbo wash/ Gentle (Wool/Saree),Also included in the box: 1 Washing Machine, 1 Anti Rat cover, 1 Owner’s manual, 1 OT Hose, 1 Drain Hose, 1 QRG, 1 Detergent Powder(200gm Packet),Smart Inverter Technology: eliminates wasted operation by efficiently controlling energy use I Jet Spray+ hands free wash: No rubbing. No scrubbing.,Spl. Features: Stainless Steel Inner Tub, Smart Closing Door, Smart Diagnosis, Punch+ 3 Pulsator, Fuzzy Logic Control, Digital Display,3 step wash, Air Dry, Health+Filter, Turbo Soak, Cold water inlet,Water level Selection up to 10, Memory Backup, Delay Start (3~18 Hr),Child Lock, Auto Balance System, Better Washing with LG Smart Motion & TurboDrum",3.00,,"LG 7.0 Kg 5 Star Smart Inverter Fully-Automatic Top Loading Washing Machine (T70SJSF3Z, Middle Free Silver, Jet Spray+)",,,"Brand,LG,Model,T70SJSF3Z,Capacity,7 Kilograms,Installation Type,Free Standing,Form Factor,Top-Loading,Special Features,Inverter,Colour,Middle Free Silver,Control Console,Fully Automatic,Access Location,Top Load,Voltage,230 Volts,Material,Steel,Included Components,1 U Machine, 1 U Hose Pipe, 1 U Owners manual, 1 U Service Manual,Batteries Required,No, , ",LG
"Semi-automatic washing Machine: Economical, Low water and energy consumption, involves manual effort; Has both washing and drying functions,Capacity 7 kg (wash): Suitable for large families and also have 6 kg capacity for spin tub,Energy rating 4: High energy efficiency,Manufacturer Warranty: 2 Years Comprehensive & 5 years on Motor T&C,1350 RPM: higher spin speeds helps in faster drying,Wash Programs: Gentle, Normal & Strong,Also included in box: 1 Unit of Machine, 1 Unit of Drain Hose,1 unit of User Manual,1 Unit of QRG, 1 unit of Detergent Powder(200gm Packet),Special features : Rat away feature; Mech. Control method, auto restart, wash timer 15 minutes, wind jet dry, spin timer 5 minutes, soak 20 minutes, lint collector,unidirectional wheel, collar scrubber, wash/spin window, rust free plastic base, spin shower",9.00,"Better Washing Experience ,Rats! No Way! ,Let Out Tough Dirt ,For Dry Clothes ,Wash it yout way ,Easy Mobility ","LG 7 Kg Semi-Automatic Top Loading Washing Machine (P7025SBAY, Dark Blue)",11925.00,3.7,"Brand,LG,Model,P7025SBAY,Capacity,7 Kilograms,Installation Type,Free Standing,Form Factor,Top-Loading,Special Features,Lint collector, collar scrubber, Rust free body,Colour,Dark Blue,Control Console,Semi Automatic,Access Location,Top Load,Voltage,220 Volts,Material,Plastic,Included Components,Machine, Hose, Owners manual, Service Manual,Batteries Included,No,Batteries Required,No, , ",LG
"Washer Dryers: Premium washing machine with best-in-class drying which is better than dryer of front-loader,Total capacity: 10.5 kg/ 7 kg (washing/drying): Suitable for families with 5 to 7 members | Twin wash compatible,Warranty: 2 years comprehensive & 10 years on motor T&C apply,AI DD detects not only the weight, but also senses softness of fabric, and it chooses the optimal motions for the fabric by itself,With TurboWash 360 Degree, your laundry can be thoroughly done in just 39 minutes with more fabric protection. 4 directions of 3D multi nozzles which reaches every inch of your laundry,1370 RPM: Higher spin speeds helps in faster drying | Washer and Dryer in One,Multiple Wash programs: TurboWash 39,Cotton+, Baby steam care, delicate, wool, rinse + spin, duvet, gentle care, allergy care, duvet, sportswear, quick 30 programs, Wash+Dry, Dry Only, Easy Care, stain care,Special features: Smart convenience with Wi-Fi, chrome door, touch panel, slim size, 6 motion DD, child lock, turbowash 360 Degree, tub clean, smart diagnosis, eco hybrid, Auto Restart, Child-Lock, Remote Start & pre wash",8.00,,"LG 10.5 Kg / 7.0 Kg Inverter Wi-Fi Washer Dryer (FHD1057STB, Black VCM, In-built Heater, Turbo Wash)",70590.00,3.9,"Brand,LG,Model,FHD1057STB,Capacity,10.5 Kilograms,Installation Type,Free Standing,Form Factor,Front-Loading,Special Features,Wi-fi, In built heater, Inverter,Colour,Black VCM,Access Location,Front Load,Voltage,230 Volts,Material,Stainless-Steel,Included Components,Machine, Hose, Owners Manual and Service Manual,Batteries Required,No, , ",LG
"Fully-automatic Top load washing machine: Best Wash Quality, Energy and Water efficient,Capacity 6.5 Kg: Suitable for families with 3 to 4 members,Energy rating 5: Best in class efficiency,Manufacturer warranty : 2 Years Comprehensive & 10 years on Motor (T&C),780 rpm: Higher spin speeds helps in faster drying,Wash programs: Prewash + Normal/Tub Clean/Aqua Reserve/Turbo wash/ Gentle (Wool/Saree),Also included in the box: 1 Washing Machine, 1 Anti Rat cover, 1 Owner’s manual, 1 OT Hose, 1 Drain Hose, 1 QRG, 1 Detergent Powder(200gm Packet),Smart Inverter Technology: eliminates wasted operation by efficiently controlling energy use I Jet Spray+ hands free wash: No rubbing. No scrubbing.,Spl. Features: Stainless Steel Inner Tub, Smart Closing Door, Smart Diagnosis, Punch+ 3 Pulsator, Fuzzy Logic Control, Digital Display,3 step wash, Air Dry,Health+Filter, Turbo Soak,Cold water inlet, Water level Selection up to 10, Memory Backup, Delay Start (3~18 Hr),Child Lock, Auto Balance System , Better Washing with LG Smart Motion & TurboDrum",,"Efficient Durable safe ,Most Powerful Washing ,Save Water & Time ,It's Rust Proof. It's Durable. ,Save Time & Money ,Safe. Smooth. Convenient. ,Fight Tough Stains ,For Hygienic Washing ,Keep Settings Safe ","LG 6.5 Kg 5 Star Smart Inverter Fully-Automatic Top Loading Washing Machine (T65SJDR1Z, Red Floral Pattern, Punch+3)",23490.00,,"Brand,LG,Model,T65SJDR1Z,Capacity,6.50 Kilograms,Installation Type,Free Standing,Form Factor,Top-Loading,Special Features,Inverter,Colour,Red Floral Pattern,Control Console,Fully Automatic,Access Location,Top Load,Voltage,230 Volts,Material,Steel,Included Components,1 U Machine, 1 U Hose Pipe, 1 U Owners manual, 1 U Service Manual,Batteries Required,No, , ",LG
"Fully-automatic Top load washing machine: Best Wash Quality, Energy and Water efficient,Capacity 7.0 Kg: Suitable for large families,Energy rating 5: Best in class efficiency,Manufacturer warranty : 2 Years Comprehensive & 10 years on Motor (T&C),780 rpm: Higher spin speeds helps in faster drying,Wash programs: Prewash + Normal/Tub Clean/Aqua Reserve/Turbo wash/ Gentle (Wool/Saree),Also included in the box: 1 Washing Machine, 1 Anti Rat cover, 1 Owner’s manual,OT Hose,Drain Hose,QRG,Detergent Powder(200gm Packet),Smart Inverter Technology: eliminates wasted operation by efficiently controlling energy use I Jet Spray+ hands free wash: No rubbing. No scrubbing.,Spl. Features: Stainless Steel Inner Tub, Smart Closing Door, Smart Diagnosis, Punch+ 3 Pulsator, Fuzzy Logic Control, Digital Display,3 step wash, Air Dry, Turbo Soak,Cold water inlet, Water level Selection up to 10, Memory Backup, Delay Start (3~18 Hr),Child Lock, Auto Balance System , Better Washing with LG Smart Motion & TurboDrum",8.00,"Efficient Durable safe ,Most Powerful Washing ,Save Water & Time ,It's Rust Proof. It's Durable. ,Save Time & Money ,Safe. Smooth. Convenient. ,Fight Tough Stains ,For Hygienic Washing ,Keep Settings Safe ","LG 7.0 Kg 5 Star Smart Inverter Fully-Automatic Top Loading Washing Machine (T70SJSF1Z, Middle free Silver, TurboDrum)",,4,"Brand,LG,Model,T70SJSF1Z,Capacity,7 Kilograms,Installation Type,Free Standing,Form Factor,Top-Loading,Special Features,Inverter,Colour,Mfs,Control Console,Fully Automatic,Access Location,Top Load,Voltage,230 Volts,Material,Steel,Included Components,1 U Machine, 1 U Hose Pipe, 1 U Owners manual, 1 U Service Manual,Batteries Required,No, , ",LG
"Fully-automatic Top load washing machine: Best Wash Quality, Energy and Water efficient,Capacity 6.5 Kg: Suitable for families with 3 to 4 members,Energy rating 5: Best in class efficiency,780 rpm: Higher spin speeds helps in faster drying,Wash programs: Prewash + Normal/Tub Clean/Aqua Reserve/Turbo wash/ Gentle (Wool/Saree),Also included in the box: 1 Washing Machine, 1 Anti Rat cover, 1 Owner’s manual, 1 OT Hose, 1 Drain Hose, 1 QRG, 1 Detergent Powder(200gm Packet),Smart Inverter Technology: eliminates wasted operation by efficiently controlling energy use I Better Washing with LG Smart Motion & TurboDrum,Spl. Features: Stainless Steel Inner Tub, Smart Diagnosis, Punch+ 3 Pulsator, Fuzzy Logic Control, Digital Display,3 step wash, Air Dry, Turbo Soak,Cold water inlet, Water level Selection up to 10, Memory Backup, Delay Start (3~18 Hr),Child Lock, Auto Balance System, Transparent window glass,Manufacturer warranty : 2 Years Comprehensive & 10 years on Motor T&C",20.00,"Efficient Durable safe ,Most Powerful Washing ,Save Time & Money ,It's Rust Proof. It's Durable. ,Fight Tough Stains ,For Hygienic Washing ,Keep Settings Safe ,Start from where it stopped ","LG 6.5 Kg 5 Star Smart Inverter Fully-Automatic Top Loading Washing Machine (T65SNSF1Z, Middle Free Silver, TurboDrum)",18580.00,4,"Brand,LG,Model,T65SNSF1Z,Capacity,6.50 Kilograms,Installation Type,Free Standing,Form Factor,Top-Loading,Special Features,Inverter,Colour,Middle Free Silver,Control Console,Fully Automatic,Access Location,Top Load,Voltage,230 Volts,Material,Steel,Included Components,1 U Machine, 1 U Hose Pipe, 1 U Owners manual, 1 U Service Manual,Batteries Required,No, , ",LG
"Fully-automatic Top load washing machine: Best Wash Quality, Energy and Water efficient,Capacity 6.5 Kg: Suitable for families with 3 to 4 members,Energy rating 5: Best in class efficiency,Manufacturer warranty : 2 Years Comprehensive & 10 years on Motor (T&C),780 rpm: Higher spin speeds helps in faster drying,Wash programs: Prewash + Normal/Tub Clean/Aqua Reserve/Turbo wash/ Gentle (Wool/Saree),Also included in the box:1 Washing Machine, 1 Anti Rat cover, 1 Owner’s manual, 1 Service Manual, 1unit QRG & 1 Unit Detergent Powder (200gm packet) , 1 unit Drain Hose, 1 OT Hose,Spl. Features: Smart Inverter Technology: eliminates wasted operation by efficiently controlling energy use ,Stainless Steel Inner Tub, Smart Closing Door, Smart Diagnosis, Punch+ 3 Pulsator, Fuzzy Logic Control, Digital Display,3 step wash, Air Dry, Turbo Soak, Cold water inlet, Water level Selection up to 10, Memory Backup, Delay Start (3~18 Hr),Child Lock, Auto Balance System , Better Washing with LG Smart Motion & TurboDrum,Jet Spray+ hands free wash: No rubbing. No scrubbing",2.00,"Efficient Durable safe ,Most Powerful Washing ,Save Water & Time ,It's Rust Proof. It's Durable. ,Save Time & Money ,Safe. Smooth. Convenient. ,Fight Tough Stains ,For Hygienic Washing ,Keep Settings Safe ","LG 6.5 kg 5 Star Inverter Fully-Automatic Top Loading Washing Machine (T65SJSF3Z, Middle Free Silver, Jet Spray+)",,4,"Brand,LG,Model,T65SJSF3Z,Capacity,6.60 Kilograms,Annual Energy Consumption,0.0112 Kilowatt Hours,Installation Type,Free Standing,Form Factor,Top-Loading,Special Features,Inverter,Colour,Middle Free Silver,Control Console,Fully Automatic,Access Location,Top Load,Voltage,230 Volts,Material,Stainless-Steel,Included Components,1 U Machine, 1 U Hose Pipe, 1 U Owners manual, 1 U Service Manual,Batteries Required,No, , ",LG
"Semi-automatic washing machine: Economical have both washing and Spinning functions,Capacity 6 Kg : Suitable for bachelors & couples,Warranty: 2 Years comprehensive on product,1350 RPM: Higher spin speeds helps in faster drying,Wash Programs: Gentle, Normal, Strong,Also included in the box: 1 unit machine, 1 unit hose pipe, 1 unit owner’s manual, 1 unit of service manual, 1 Unit QRG, 1 Unit Detergent Powder(200gm Packet),Special features : 3.5 kg Spin Tub Capacity, Roller Jet Pulsator, Electro Mech. Control method, 15 minutes Wash Timer, 5 minuts Spin Timer, Lint Collector, Collar Scrubber, Rust Free Plastic Base & Spin Shower,Country of Origin: India",30.00,"Better Washing Experience ,Wash it your way ,Wash Leftover Soap ,Save Time & Water ,All-Clear Pipes ","LG 6 Kg Semi-Automatic Top Loading Washing Machine (P6001RG, Dark Grey, Roller Jet Pulsator)",,3.8,"Brand,LG,Model,P6001RG,Capacity,6 Kilograms,Installation Type,Free Standing,Form Factor,Top-Loading,Special Features,Lint collector, collar scrubber, Rust free body,Colour,Grey,Control Console,Semi Automatic,Access Location,Top Load,Voltage,230 Volts,Material,Plastic,Included Components,1 unit of machine, 1 unit of drain hose, 1 unit Inlet hose,  1 unit of QRG, 1 unit of user manual & 1 Unit Detergent Powder (200gm packet), Safety cover,Batteries Required,No, , ",LG
"Fully-automatic Top load washing machine: Best Wash Quality, Energy and Water efficient,Capacity 7.0 Kg: Suitable for families with 3 to 4 members,Energy rating 5: Best in class efficiency,Manufacturer warranty : 2 Years Comprehensive & 10 years on Motor T&C,780 rpm: Higher spin speeds helps in faster drying,Wash programs: Prewash + Normal/Tub Clean/Aqua Reserve/Turbo wash/ Gentle (Wool/Saree),Also included in the box: 1 Washing Machine, 1 Anti Rat cover, 1 Owner’s manual,OT Hose,Drain Hose,QRG,Detergent Powder(200gm Packet),Smart Inverter Technology: eliminates wasted operation by efficiently controlling energy use I Jet Spray+ hands free wash: No rubbing. No scrubbing.,Spl. Features: Stainless Steel Inner Tub, Smart Closing Door, Smart Diagnosis, Punch+ 3 Pulsator, Fuzzy Logic Control, Digital Display,3 step wash, Air Dry, Turbo Soak,Cold water inlet, Water level Selection up to 10, Memory Backup, Delay Start (3~18 Hr),Child Lock, Auto Balance System, Better Washing with LG Smart Motion & TurboDrum,Country of Origin: India",2.00,"Efficient Durable safe ,Most Powerful Washing ,Save Water & Time ,It's Rust Proof. It's Durable. ,Save Time & Money ,Safe. Smooth. Convenient. ,Fight Tough Stains ,For Hygienic Washing ,Keep Settings Safe ","LG 7.0 Kg 5 Star Smart Inverter Fully-Automatic Top Loading Washing Machine (T70SJSS1Z, STS-VCM, Smart Diagnosis)",26990.00,,"Brand,LG,Model,T70SJSS1Z,Capacity,7 Kilograms,Installation Type,Free Standing,Form Factor,Top-Loading,Special Features,Inverter,Colour,Stainless,Control Console,Fully Automatic,Access Location,Top Load,Voltage,230 Volts,Material,Steel,Included Components,1 unit of machine, 1 unit of drain hose, 1 unit of QRG, 1 unit of user manual, 1 unit OT hose & 1 Unit Detergent Powder (200gm packet), Anti Rat Cover,Batteries Required,No, , ",LG
"Fully-Automatic Top load washing machine: upgrades the way of washing and provides better performance.,Capacity 6.5 kg: Suitable for families with 3 to 4 members,Energy rating 5: Best in class efficiency,Manufacturer warranty: 2 years comprehensive & 10 years on motor *T&C,780 RPM: higher spin speeds helps in faster drying Wash programs,Multiple wash programs: Normal, Pre-Wash+ Normal, gentle (wool/Saree) & etc.,Also included in the box: 1 Washing Machine, 1 Anti Rat cover, 1 Owner’s manual, 1 OT Hose, 1 Drain Hose, 1 QRG, 1 Detergent Powder(200gm Packet),Smart Inverter Technology: eliminates wasted operation by efficiently controlling energy use,Better Washing with LG Smart Motion & TurboDrum,Special features: Stainless Steel inner Tub, Air Dry, Punch+ 3 pulsator, 3-Step wash, smart diagnosis, Fuzzy logic control, Digital display, Health+Filter, Turbo soak, cold water inlet, Beeper, water level selection 6, Memory back up, Delay start, (3~18 hrs), Child lock, Auto balance system & Transparent window glass",11.00,"Efficient Durable safe ,Most Powerful Washing ,Save Time & Money ,It's Rust Proof. It's Durable. ,Fight Tough Stains ,For Hygienic Washing ,Keep Settings Safe ,Start from where it stopped ","LG 6.5 Kg 5 Star Smart Inverter Fully-Automatic Top Loading Washing Machine (T65SPSF2Z, Middle Free Silver, TurboDrum)",18940.00,4,"Brand,LG,Model,T65SPSF2Z,Capacity,6.50 Kilograms,Installation Type,Free Standing,Form Factor,Top-Loading,Special Features,Inverter,Colour,Middle Free Silver,Control Console,Fully Automatic,Access Location,Top Load,Voltage,230 Volts,Material,Steel,Included Components,1 U Machine, 1 U Hose Pipe, 1 U Owners manual, 1 U Service Manual,Batteries Required,No, , ",LG
"Semi-automatic washing Machine: Economical, Low water and energy consumption, involves manual effort; Has both washing and drying functions,Capacity 6.5 kg (wash): Suitable for large families,Energy rating 4: High energy efficiency,Manufacturer Warranty: 2 Years Comprehensive *T&C,1350 RPM: higher spin speeds helps in faster drying,Wash Programs: Gentle, Normal & Strong,Also included in box: 1 Unit of Machine, 1 Unit of Drain Hose, 1 Unit of QRG,1 Unit of Detergent Powder(200gm Packet),1 unit of User Manual,Special features : 5.5 kg capacity for spin tub, Rat away feature; Mech. Control method, wash timer 15 minutes, spin timer 5 minutes, lint collector, unidirectional wheel, collar scrubber, Rust free plastic base & spin shower,Country of Origin: India",986.00,"Rats! No Way! ,Wash it your way ,Wash Leftover Soap ,Save Time & Water ,All-Clear Pipes ","LG 6.5 Kg 4 Star Semi-Automatic Top Loading Washing Machine (P6510NBAY, Dark Blue, Rat Away Technology)",9490.00,4.4,"Brand,LG,Model,P6510NBAY,Capacity,6.50 Kilograms,Installation Type,Free Standing,Form Factor,Top-Loading,Special Features,Lint collector, collar scrubber, Rust free body,Colour,Dark Blue,Control Console,Semi Automatic,Access Location,Top Load,Voltage,230 Volts,Material,Plastic,Included Components,1 unit of machine, 1 unit of drain hose, 1 unit Inlet hose,  1 unit of QRG, 1 unit of user manual & 1 Unit Detergent Powder (200gm packet), Safety cover,Batteries Required,No, , ",LG
