Rating,Date,Title,Review
5,14-Aug-20,not very happy,"I will try to give a detailed review of this product. Please mark my review as ""Helpful"" if it helps you so that it will help others too.Review date: 14/08/2020Delivery:The delivery guy was patient enough for the package to get sanitized below our home. He was wearing a mask and he promptly brought it to our home and kept it where we asked him to keep. No fuss.Packaging:I have attached the packaging pictures. I was delighted to see that this product was manufactured in India and that too just a month before the delivery. The packaging was great and because of that, there were no dents or scratches during transport.Installation:Some comments have mentioned that installation didn't happen on time. We promptly called up LG helpline number from the next day of delivery (mentioned on the packaging). Installation person wore a mask and had plastic covers on his feet. Installation was smooth, it got done in less than an hour. The installation guy also gave us a crisp demo regarding all the other functions of the machine. He did not ask us to take any accessories. There are 4 large screws behind the machine which MUST BE removed during installation. These are there for supporting the drum during transport but they are meant to be removed before using the machine, else machine will make a lot of noise during operation and also it can damage the machine. A spanner is provided to remove them. Keep the spanner and the large screws safe, they would be needed in case the machine needs to be moved to another home. I would advise to install the machine directly on the floor and not on a stand for minimum vibrations during use. The box DID NOT contain the anti-rat mesh, but it did contain the screws for the same. However, on the box, under accessories it clearly said that this unit contains an anti-rat cover. For quick installation, DO NOT follow up with Amazon, contact LG helpline directly.Performance:LG is an amazing brand for washing machines and this front-load machine is fantastic. I have used top load machines in the past, and these front load machines work in a completely different manner. The tumble wash gives a superior quality wash. Use of water is really less, which results in much less water wastage. The 6D motion offered at this price point is best in class. Our machine is installed in the kitchen, and it hardly makes any noise even while spinning at 1000 rpm. This is because of Direct Drive Technology, again best in class at this price point. I have attached the spin video. The clothes get washed properly, but not roughly. To get best performance, do not mix up all clothes together, but make batches of similar clothes and keep the setting and temperature as per the type of load. I have washed even soiled handkerchiefs in the intensive 60 mode and they have come out totally clean in an hour. Remember, it is a 6Kg machine, even if you think there is space for more clothes, do not overload it. For tumble wash to work best, it is good to keep a little space free. Till now I have not experienced any soap leftover in the clothes, hence it is rinsing well. Standard mix setting with full load can take around 1.5 hours to finish. If Pre-wash is required, it can add 15 minutes. Put detergent in the detergent tray and not directly on the clothes.Competition:Among reputed brands, this model has competition from IFB, Bosch and Samsung machines of all 6Kgs each. First of all, none of them use Direct Drive technology in this class. IFB and Bosch machines of this range do not have display LEDs, hence you will not be able to see how much time will a wash take and how much time is left. For me, that was a dealbreaker. Also, IFB gives around 4 years comprehensive warranty and 10 years Spare Parts Support. LG gives 2 years of comprehensive warranty but 10 years warranty on motor which is the most expensive part. My choice was between Samsung and LG. Samsung has a display LED, but is not a proper display like LG, it has limitations. Also, Samsung 6Kg machine of this range did not have either tub clean option or smart diagnosis, they had these options in the higher range. LG has these options in this machine. LG did cost me around Rs. 2000 more, but thinking about a long term perspective of 7/10 years, it was not a deal breaker for me. Also, I personally think LG is trustworthy for washing machines. Hence, I believe LG is better than these other brands in this particular range.Advantages:Direct Drive technology will ensure minimum noise and vibration during spin.Much better quality wash and care of clothes compared to top load machine.Very less water consumption.Fits well even in closed spaces because it needs to be opened from front, not top.Brand LG is superb for washing machines.Inbuilt heater is great for wash and for treating allergents. Top load machines will have inbuilt heater only at higher price points.Many settings and choices to get that perfect wash depending on the type of clothes.Disadvantages:Costlier than top load machines.Need to use detergent for front load machines which tend to be little bit costlier than top load machines.Comparatively little bit of inconvenience for bending to put and remove clothes from the front of the machine.Comparatively takes around 30 to 40 minutes more time than top load machines in the general mode.Conclusion:I am giving it a 5 star rating. If the above advantages weigh more for you than the disadvantages, you can safely select this machine. I would call it best in class.Again, please mark my review as ""Helpful"" if it helped you so that it will help others too."
1,14-Aug-20,Bang for buck washing machine,I got a product but in this drum wet  and I found water...
5,14-Aug-20,Best in class!,Delivered on 9th August 2020 and Installation completed the next morning.Writing review after a week of usage. There is no noise at all. Thought it is smaller for our family when I sawFirst when it was delivered but okay for family of 4.
5,14-Aug-20,Used product,Loo noise exlent product fastest delivery Amazon in rural areas tooo thank you amazon.....
5,12-Aug-20,Good washing machine with less noise. Quick installation.,"Very nice Machine, less noise, Great for 3,4 family persons."
1,10-Aug-20,Nice product,It’s very small and not useful and I would like change the the product with high end. I have reached out to amazon service and they are not accepted to replace the product
5,10-Aug-20,Extraordinary Performance,Worth buying and value for money
1,10-Aug-20,Not useful,The door sometimes doesn't close..SHOULDN'T HAPPEN YO A NEW MACHINE ....NEVER FACED THIS ISSUE  WITH MY OLD WASHING MACHINE
1,09-Aug-20,Good product,Found dent in my delivered model. I dont know its courier problem or manufacturing defect.
5,07-Aug-20,Very good washing machine and Super washing quality.,Very Good product
5,06-Aug-20,not very happy,No dislikes
4,06-Aug-20,Nice,The washing machine is completely running and not rinsing the clothes
5,05-Aug-20,Satisfaction guaranteed,Very good product for the price
4,04-Aug-20,I need Technical Assistance,Good
2,04-Aug-20,Worth the price,"Noise level is too high and also, the manchine is getting stucked many times.. Had to switch off and on.. Even the sound alert is not working properly.."
5,03-Aug-20,Good,absolutely less or no noise . Its an excellent product. Thanks amazon and thanks LG.
1,02-Aug-20,Too many issues,Damaged product recieved. Front door leaking water. Replacement recieved which is having y dent at the bottom. Went for a refund.
5,01-Aug-20,Its an excellent product,Nice washing machine i am using from 6months still no problem faced. It clean cloth brighter then washing with bands.
5,30-Jul-20,Damaged product. Late installation,Noise level is low.Really good product.
5,29-Jul-20,Very good washing machine and Super washing quality.,"Good delivery, good demo installation."
5,28-Jul-20,not very happy,Please buy it......
5,27-Jul-20,When Installation will be done.,I'm satisfied. Awesome product.
1,25-Jul-20,osm,PLEASE DO BOT BUY THIS MACHINE EVERAMAZON AND LG BOTH SUCK!INSTALLATION GUY CAME ONLY ON 6TH DAY AFTER SOO MANY ESCALATION AND IT TURNED OUT TO BE A BROKEN... CRACKS ALL OVER THE DRUM. HAVING A VERY TOUGH TIME TO GET THIS RETURNED.
4,25-Jul-20,Great product,"Portable nice, quite"
1,24-Jul-20,The service abs product sucks,"The product is good but the installation and service agents are hopeless, useless and extortionist.  The worst words in English dictionary can be given to the authorized agent of LG Shafa & Co.  They also misinform the customer.  So buy machines whose authorized dealers are customer friendly.  Installation happened after 5 reminders"
4,16-Jul-20,Satisfactory,Excellent easy to operate nice mechine for a small family 3_4 members
4,16-Jul-20,Know who are the dealers and how is the call center,WM is really good. Highly recommended!
5,16-Jul-20,Nice mechine,Very nice and goodNo noiseClean WashingLow options machine is better more than high options
5,14-Jul-20,"Good, very easy to use and compact in design. Overall 5stars","Good product and eco friendly .I purchase 6kg LG Inverter front load on 10.07.20 through Amazon, I received the product on 14.07.20 and same day installed the washing machine.easy to use and value for money.noise level is ok 1000rpm also"
