Rating,Date,Title,Review
1,26-Jul-20,Issue a problem,"Does not provide cooling, service technicians failed to fix the issue even in 3 visits. Unit had manufacturing defects! Bought this to enjoy the few remaining days of summer, but got nothing but a frustrating experience. Lot of time wasted. Daikin technicians say that the unit does not have inbuilt stabilizer. Do not buy. Still not fixed. Seems like I wasted 43K to buy a fan!"
5,24-Jul-20,Invoice missing,Now l understand why all wanted Daikin ac s.it's working good..low electric bill comes. suggested 5star product..thanq Amazon
1,23-Jul-20,"DO NOT BUY, Does not cool enough!",No cooling at all
5,22-Jul-20,Nice and worthfull product..it cross the all expectations.,Happy with the productBut the installation charges are very high .I paid 3800/- for the installation of this AC.Please be aware of the Charges and think twice .
2,18-Jul-20,No cooling,"A/C unit works fine. No issue so far.Warranty is not valid unless installed by Daikin. Daikin is overcharging for installation.For us they charged the belowCovid travel surcharge - 400 (not sure who authorized them to collect, Amazon delivered the unit without any shipping charges or additional charges)Power cable - 600 (He comes with a cable, cuts it into two, connects from main power to external unit and external unit to internal unit. He claims, company provided power cable does not withstand the main power source!!)Tape charges - 150 (tape used on the insulation)Other charges - 100Icing on the cake - Daikin call support center informed me that installation charges for a 5 start inverter A/C is 599 + tax only, but the installation team charges 1500 if you buy from Amazon. Wonder what difference it makes to them for installation!!"
5,16-Jul-20,Not Happy With Installation Charges,"Great energy efficient cooling star!Pros -1) This draws a max of 6.75A only! So less heat on sockets2) No need of stabilizer - very wide power band3) Super silent - when i set temps to 28degrees i often look at the ac to make sure it is working, that is how silent it is. Outdoor unit is pretty silent too4) Chills to the bone, havent used this below 24 degrees at all, that too not more than 15mins, 27-28 sets the temperature to perfect levels5) Remote though not as per images is very useful and backlit led is great for nights6) Very energy efficient, I use my ACs for 12-14 hours a day atleast, and this one will save me so much money as compared to my other 3 star non inverter AC7) Daikin's installation - 5 stars - the guys spent 2 hours installing each AC (I bought 2) - meticulously routing wires/pipes etc. Also installation was done on same day of delivery in Noida! How about thatCons -1) Expensive (probably most expensive after ogeneral/mitsubishi)2) Warranty on compressor is 5 years only (Not 10 years) - there is super confusion around this3) Remote doesnt have slider to hide infrequently used functions (the remote as per image is not what is sent)4) Installation charges per AC were approx 2500/- (not even a plug in the box)5) 2 free services only - some brands give 3-4 free servicings6) No temperature indicator on the indoor unit. This is available in the JTKJ series but that is 4k more expensive and has bad reviews (gas leakage etc)7) some of the fins of indoor unit were bent (see photos), but not a deal breakerHave said the above I bought one more exact same model since it is perfect. I've had ACs of several other brands, but Daikin has proven itself over and over again. Wont go to any other brand again."
5,03-Jul-20,The mean machine - Daikin,"expensive on Amazon, I could have saved 5K by going to local electronics shop. Installation is in the higher side but product is brilliant"
5,01-Jul-20,"Dear DAIKIN, please at least provide the basic attachments for installation",Delivered in time and Installed in time. Everything is perfect. I am happy with Amazon service.
1,30-Jun-20,Best AC so far,One of the worst experience with Daikin air condition not even a month completed and the AC is not working... indoor unit is not working due to leakage of gas. Raised complaint to the service centre. After continuously follow up today Daikin team updated me that they will replace the indoor unit now. But but now there is a twist in the story that indoor unit is not available as of now so we will replace the coil. AC purchased for Rs.45500. which is Rs3000 expensive from the local market and still there is no solution. Purchased AC on 29th of June 2020 installed on 1st of July 2020 service centre people came in four days back but there is no clarity till now.... Good Daikin good.
1,25-Jun-20,Good Product with reasonable price,At time of installation. Company representative informed GAS of AC already leaked. It will not cooling now.After 3-4 day no one willing to hear complaint.
5,21-Jun-20,Daikin AC didn't work for a month....,"Good quality AC giving instant cooling. And also very economic in electricity bill.I got only 2200 rs bill of two months usage also having Washing machine, gieser, freeze, etc. Go for buying...."
5,19-Jun-20,Damaged and gas leaked,Perfect cooling and performance.
5,19-Jun-20,Very economic in electricity bill.,Good ac
5,12-Jun-20,Reliable purchase,"Awesome experience,"
5,11-Jun-20,Kno,"1. Each mode and each feature works perfectly.2. Super cooling, Energy efficient, silent operation.3. Remote controller is awesome. Easy to use.4. Aesthetics are also very good.You can blindly go with it."
5,09-Jun-20,The Most trusted brand,Diakin Ac is really awesome in terms of cooling and electric bill saving......price is too high but  one of best ac among other brands...just go for it......also super silent ac in sleep mode.........
